fecha,viajeros
2009-01-01,81693.0
2009-02-01,70099.0
2009-03-01,84494.0
2009-04-01,80618.0
2009-05-01,64621.0
2009-06-01,81500.0
2009-07-01,74818.0
2009-08-01,76026.0
2009-09-01,61974.0
2009-10-01,72950.0
2009-11-01,82455.0
2009-12-01,104131.0
2010-01-01,85216.0
2010-02-01,69352.0
2010-03-01,88849.0
2010-04-01,76466.0
2010-05-01,65070.0
2010-06-01,84570.0
2010-07-01,102317.0
2010-08-01,79180.0
2010-09-01,62853.0
2010-10-01,76272.0
2010-11-01,84445.0
2010-12-01,99643.0
2011-01-01,81827.0
2011-02-01,69199.0
2011-03-01,77868.0
2011-04-01,77120.0
2011-05-01,68133.0
2011-06-01,82437.0
2011-07-01,97679.0
2011-08-01,77477.0
2011-09-01,65329.0
2011-10-01,71644.0
2011-11-01,86040.0
2011-12-01,101211.0
2012-01-01,81067.0
2012-02-01,70168.0
2012-03-01,84564.0
2012-04-01,75122.0
2012-05-01,71959.0
2012-06-01,87824.0
2012-07-01,96204.0
2012-08-01,72237.0
2012-09-01,65651.0
2012-10-01,75434.0
2012-11-01,87872.0
2012-12-01,102428.0
2013-01-01,80051.0
2013-02-01,69139.0
2013-03-01,90893.0
2013-04-01,72202.0
2013-05-01,71046.0
2013-06-01,89180.0
2013-07-01,95206.0
2013-08-01,77913.0
2013-09-01,66627.0
2013-10-01,79527.0
2013-11-01,92515.0
2013-12-01,112488.0
2014-01-01,90200.0
2014-02-01,78209.0
2014-03-01,92135.0
2014-04-01,89600.0
2014-05-01,80383.0
2014-06-01,99084.0
2014-07-01,102729.0
2014-08-01,86492.0
2014-09-01,73602.0
2014-10-01,86265.0
2014-11-01,95776.0
2014-12-01,117878.0
2015-01-01,95064.0
2015-02-01,79878.0
2015-03-01,98121.0
2015-04-01,87540.0
2015-05-01,84334.0
2015-06-01,104893.0
2015-07-01,106927.0
2015-08-01,90600.0
2015-09-01,82888.0
2015-10-01,97243.0
2015-11-01,110173.0
2015-12-01,129751.0
2016-01-01,109052.0
2016-02-01,90944.0
2016-03-01,117172.0
2016-04-01,90938.0
2016-05-01,96379.0
2016-06-01,113143.0
2016-07-01,130062.0
2016-08-01,100986.0
2016-09-01,80637.42857142864
2016-10-01,102214.0
2016-11-01,111954.0
2016-12-01,111842.0
2017-01-01,99217.0
2017-02-01,94604.0
2017-03-01,106339.0
2017-04-01,110230.00000000001
2017-05-01,89750.0
2017-06-01,114128.0
2017-07-01,134449.0
2017-08-01,100536.0
2017-09-01,91091.0
2017-10-01,109105.00000000001
2017-11-01,121392.0
2017-12-01,142949.0
2018-01-01,117446.0
2018-02-01,96337.0
2018-03-01,124266.0
2018-04-01,104951.0
2018-05-01,103815.0
2018-06-01,120718.00000000068
2018-07-01,134933.0
2018-08-01,110568.00000000073
2018-09-01,94931.29173150647
2018-10-01,115003.99628460119
2018-11-01,135409.36194730835
2018-12-01,156607.3959668107
2019-01-01,126566.13349998859
2019-02-01,106574.12156398408
2019-03-01,118895.93695089713
2019-04-01,125309.99999999897
2019-05-01,109523.99999999949
2019-06-01,127604.99999999904
2019-07-01,138562.64109759167
2019-08-01,115044.99999999999
2019-09-01,101240.07692307641
2019-10-01,119128.99999999866
2019-11-01,137092.00000000227
2019-12-01,157842.00000000003
2020-01-01,130697.00219828535
2020-02-01,112885.99999999996
2020-03-01,54830.992130115425
2020-04-01,489.0
2020-05-01,610.0
2020-06-01,1418.0
2020-07-01,1047.0
2020-08-01,1259.0
2020-09-01,5606.0
2020-10-01,9474.702618453864
2020-11-01,38994.0
2020-12-01,53717.0
2021-01-01,43648.0
2021-02-01,28784.0
2021-03-01,60160.41466618583
