fecha,viajeros
2009-01-01,31607.41053475936
2009-02-01,26611.326959578215
2009-03-01,34552.77000000002
2009-04-01,35533.330000000016
2009-05-01,27173.817650695546
2009-06-01,30127.64
2009-07-01,26910.130000000012
2009-08-01,54797.80999999985
2009-09-01,35011.46
2009-10-01,40960.62000000001
2009-11-01,44545.55000000012
2009-12-01,50437.480000000025
2010-01-01,39775.049999999996
2010-02-01,34381.22
2010-03-01,20923.977591125204
2010-04-01,42042.62000000004
2010-05-01,33877.86999999997
2010-06-01,32194.519999999982
2010-07-01,41154.26304347823
2010-08-01,53267.48148325358
2010-09-01,33235.00892086333
2010-10-01,42160.61000000002
2010-11-01,46097.57000000012
2010-12-01,58173.65999999998
2011-01-01,48827.31
2011-02-01,39053.600000000006
2011-03-01,47393.708732171166
2011-04-01,53731.33
2011-05-01,38184.29999999997
2011-06-01,37303.76000000002
2011-07-01,42756.0
2011-08-01,47596.97038461547
2011-09-01,35202.09
2011-10-01,42912.84000000006
2011-11-01,52401.620000000046
2011-12-01,69834.51000000007
2012-01-01,57181.01
2012-02-01,46179.31000000001
2012-03-01,51118.41900158478
2012-04-01,50197.77999999995
2012-05-01,39422.460000000014
2012-06-01,40568.510000000024
2012-07-01,44613.73999999998
2012-08-01,49534.899999999965
2012-09-01,39433.179999999986
2012-10-01,45355.40999999998
2012-11-01,53340.83000000007
2012-12-01,56650.159999999996
2013-01-01,38650.84000000001
2013-02-01,33068.15
2013-03-01,53940.459175911245
2013-04-01,45047.50000000002
2013-05-01,50045.240000000034
2013-06-01,45116.19000000005
2013-07-01,45617.31999999998
2013-08-01,55250.420000000064
2013-09-01,43794.45999999993
2013-10-01,39450.98999999996
2013-11-01,48110.019999999924
2013-12-01,61495.65999999999
2014-01-01,53127.53999999997
2014-02-01,41977.749999999985
2014-03-01,45590.77000000004
2014-04-01,61024.90000000005
2014-05-01,49255.520000000055
2014-06-01,42000.349999999955
2014-07-01,54642.689999999995
2014-08-01,63231.770000000004
2014-09-01,53943.109999999986
2014-10-01,61061.01000000001
2014-11-01,67123.28999999959
2014-12-01,86824.29999999996
2015-01-01,55883.00000268093
2015-02-01,47280.99999900502
2015-03-01,63590.999997249164
2015-04-01,67152.99999788038
2015-05-01,60865.00000219999
2015-06-01,55969.000000939835
2015-07-01,58017.99999841815
2015-08-01,79655.00000023178
2015-09-01,55196.00000125024
2015-10-01,59381.9999972759
2015-11-01,57414.000003299974
2015-12-01,86569.00000275004
2016-01-01,60358.999999999876
2016-02-01,52427.999999999876
2016-03-01,102206.0000000001
2016-04-01,69140.00000000004
2016-05-01,70407.99999999993
2016-06-01,69722.00000000019
2016-07-01,76313.00000000067
2016-08-01,98514.99999999978
2016-09-01,58125.85420865275
2016-10-01,96001.99999999991
2016-11-01,97481.00000000003
2016-12-01,136230.9999999999
2017-01-01,92801.66437482914
2017-02-01,77164.85950996548
2017-03-01,107972.60548985946
2017-04-01,125586.54517158523
2017-05-01,79431.67984374179
2017-06-01,72268.25700000007
2017-07-01,77043.19889999973
2017-08-01,102847.1247999999
2017-09-01,64445.82519999994
2017-10-01,67446.72719999988
2017-11-01,80668.71510000064
2017-12-01,97424.55980000042
2018-01-01,95762.21883200061
2018-02-01,79855.45068800011
2018-03-01,142606.99999999866
2018-04-01,134110.20890000009
2018-05-01,88124.55399999923
2018-06-01,95603.51250001922
2018-07-01,102110.00000000016
2018-08-01,127364.00000000006
2018-09-01,79449.10168539287
2018-10-01,77101.54875716912
2018-11-01,83397.20199744927
2018-12-01,104544.35558766701
2019-01-01,102985.0
2019-02-01,84376.0
2019-03-01,123670.0
2019-04-01,137113.0
2019-05-01,97409.0
2019-06-01,96354.0
2019-07-01,107991.0
2019-08-01,165263.0
2019-09-01,89768.0
2019-10-01,85655.0
2019-11-01,119801.00000000001
2019-12-01,160692.0
2020-01-01,146886.0
2020-02-01,124678.0
2020-03-01,44917.0
2020-04-01,0.0
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,7254.0
2020-10-01,8576.920058910006
2020-11-01,11528.0
2020-12-01,573.0
2021-01-01,17086.0
2021-02-01,14657.0
2021-03-01,20788.0
