fecha,viajeros
2009-01-01,88433.5905347593
2009-02-01,67653.25390751359
2009-03-01,78221.22709511571
2009-04-01,92934.4899173554
2009-05-01,62056.667650695555
2009-06-01,73950.12857142845
2009-07-01,64156.27569229022
2009-08-01,104657.18837563434
2009-09-01,73045.18845637582
2009-10-01,83029.96666666669
2009-11-01,93790.16000000013
2009-12-01,117764.58770897836
2010-01-01,99581.98588235289
2010-02-01,76014.55714285714
2010-03-01,77503.78724629761
2010-04-01,96497.10000000005
2010-05-01,79094.53513761464
2010-06-01,74888.53999999995
2010-07-01,99950.90921084872
2010-08-01,106249.43583364459
2010-09-01,70280.8886553766
2010-10-01,84744.54099203461
2010-11-01,97709.08842105274
2010-12-01,130987.48519124987
2011-01-01,110644.59029411766
2011-02-01,83028.8476190476
2011-03-01,96708.30508188404
2011-04-01,117307.74419302512
2011-05-01,80830.34999999996
2011-06-01,85376.35714285713
2011-07-01,105386.66331283798
2011-08-01,98679.6781400468
2011-09-01,78462.69120441619
2011-10-01,83193.86878067983
2011-11-01,104176.49504048169
2011-12-01,146377.5152835257
2012-01-01,122517.305882353
2012-02-01,92607.26952380955
2012-03-01,106344.11365490344
2012-04-01,110443.74999999993
2012-05-01,83234.46
2012-06-01,90624.46928571428
2012-07-01,105841.72000106898
2012-08-01,100145.5113766111
2012-09-01,85070.55262295081
2012-10-01,95986.9581938911
2012-11-01,110323.7518037972
2012-12-01,140017.71697674415
2013-01-01,105415.51999839998
2013-02-01,79327.08999989995
2013-03-01,131636.6366329104
2013-04-01,109751.51000000002
2013-05-01,112853.55999999998
2013-06-01,113399.43999999997
2013-07-01,118956.62178503753
2013-08-01,120963.62000000013
2013-09-01,100119.2500028
2013-10-01,91059.97999999995
2013-11-01,113120.41999999993
2013-12-01,153846.32999999996
2014-01-01,130524.53999999992
2014-02-01,96035.75
2014-03-01,110207.73433878162
2014-04-01,140647.90000000002
2014-05-01,112244.52000000008
2014-06-01,102404.34999985993
2014-07-01,135567.68999999997
2014-08-01,140100.76999999996
2014-09-01,116394.10999999997
2014-10-01,139647.01000000004
2014-11-01,153726.28999999957
2014-12-01,208891.3
2015-01-01,151017.000001625
