fecha,prediccion
2021-04-01,82416.7611787782
2021-05-01,68353.59231288574
2021-06-01,74983.08079070541
2021-07-01,83866.75851455501
2021-08-01,86028.23030839014
2021-09-01,68807.40063215162
2021-10-01,79014.56822413827
2021-11-01,96132.24740120537
2021-12-01,120735.4623537951
2022-01-01,106472.10252820754
2022-02-01,84388.17176909756
2022-03-01,100833.32398724396
2022-04-01,79037.05115918847
2022-05-01,65550.57149285033
2022-06-01,71908.20414356692
2022-07-01,80427.58836824002
2022-08-01,82500.4245600618
2022-09-01,65985.77046745968
2022-10-01,75774.37213277142
2022-11-01,92190.1056248379
2022-12-01,115784.4150830276
2023-01-01,102105.9536995491
2023-02-01,80927.61999853667
2023-03-01,96698.40488456399
2023-04-01,75795.93310877087
2023-05-01,62862.49431378622
2023-06-01,68959.41914542121
2023-07-01,77129.44847603944
2023-08-01,79117.28375123513
2023-09-01,63279.84705823867
2023-10-01,72667.04695464949
2023-11-01,88409.6194900418
2023-12-01,111036.39570126345
2024-01-01,97918.84779479669
2024-02-01,77608.97527962319
2024-03-01,92733.04665470634
2024-04-01,72687.7237784277
2024-05-01,60284.64727499245
2024-06-01,66131.55514854174
2024-07-01,73966.55560196037
2024-08-01,75872.87559815797
2024-09-01,60684.88561070647
2024-10-01,69687.14404435453
2024-11-01,84784.1599743377
2024-12-01,106483.0786318194
2025-01-01,93903.4427901534
2025-02-01,74426.41842147618
2025-03-01,88930.29610490493
2025-04-01,69706.97297239391
2025-05-01,57812.51016257112
2025-06-01,63419.65353825948
2025-07-01,70933.3636635111
2025-08-01,72761.51108259022
2025-09-01,58196.335901120525
2025-10-01,66829.43818939419
2025-11-01,81307.36989196455
2025-12-01,102116.47970542933
2026-01-01,90052.69773662733
2026-02-01,71374.36886111977
2026-03-01,85283.48517238196
2026-04-01,66848.45399140584
2026-05-01,55441.748123303325
2026-06-01,60818.95903811118
