fecha,prediccion
2021-04-01,38294.847709654474
2021-05-01,30822.482276129296
2021-06-01,32295.51925319042
2021-07-01,36838.25458296316
2021-08-01,41359.75182156893
2021-09-01,31589.59117868037
2021-10-01,34214.9495856994
2021-11-01,38188.76529774446
2021-12-01,45680.66918125686
2022-01-01,47001.43811411233
2022-02-01,35955.98224146868
2022-03-01,42849.586604528624
2022-04-01,36477.29684191009
2022-05-01,29359.575712926126
2022-06-01,30762.701203599077
2022-07-01,35089.83476361442
2022-08-01,39396.738208871146
2022-09-01,30090.27702732151
2022-10-01,32591.033872129545
2022-11-01,36376.24918419278
2022-12-01,43512.581453054496
2023-01-01,44770.665659926046
2023-02-01,34249.435757109815
2023-03-01,40815.86426844399
2023-04-01,34746.00835910837
2023-05-01,27966.099838750546
2023-06-01,29302.63189682835
2023-07-01,33424.39631561256
2023-08-01,37526.89075669821
2023-09-01,28662.121497583572
2023-10-01,31044.190467722816
2023-11-01,34649.75650221423
2023-12-01,41447.39286320309
2024-01-01,42645.767410185894
2024-02-01,32623.883302887352
2024-03-01,38878.66398416845
2024-04-01,33096.888181029695
2024-05-01,26638.7594188282
2024-06-01,27911.858620677176
2024-07-01,31838.000878207786
2024-08-01,35745.78772624459
2024-09-01,27301.747345660464
2024-10-01,29570.761460439702
2024-11-01,33005.204512502714
2024-12-01,39480.21973816131
2025-01-01,40621.71849238806
2025-02-01,31075.480838818818
2025-03-01,37033.40473967285
2025-04-01,31526.036535701798
2025-05-01,25374.415612802815
2025-06-01,26587.092531364357
2025-07-01,30326.897008330216
2025-08-01,34049.21723788507
2025-09-01,26005.937614377228
2025-10-01,28167.262545605594
2025-11-01,31438.70424575123
2025-12-01,37606.410187351605
2026-01-01,38693.7325184057
2026-02-01,29600.56676606415
2026-03-01,35275.72294133986
2026-04-01,30029.738737378615
2026-05-01,24170.07855213504
2026-06-01,25325.200876205403
