fecha,prediccion
2021-04-01,8786.574803713203
2021-05-01,9871.253655368833
2021-06-01,14777.935842228777
2021-07-01,13490.64545771303
2021-08-01,13720.848682624535
2021-09-01,19286.434871094214
2021-10-01,29168.40255823716
2021-11-01,47569.66003702874
2021-12-01,63866.974166855565
2022-01-01,48764.29259429937
2022-02-01,40109.10091214175
2022-03-01,45938.1107004268
2022-04-01,7728.403954654341
2022-05-01,8151.329759157883
2022-06-01,12215.803163824366
2022-07-01,11651.090456948208
2022-08-01,11024.450821286608
2022-09-01,16891.382865399988
2022-10-01,23381.198314208254
2022-11-01,41403.60790516441
2022-12-01,51806.875082721606
2023-01-01,41816.98692767043
2023-02-01,33049.92702125371
2023-03-01,38811.26901335033
2023-04-01,6451.218012439253
2023-05-01,6815.163819056183
2023-06-01,10275.532138748575
2023-07-01,9692.947768355154
2023-08-01,9297.519195809487
2023-09-01,14043.458249815729
2023-10-01,19702.83080684702
2023-11-01,34484.845480237425
2023-12-01,43554.766312136824
2024-01-01,34917.11809523101
2024-02-01,27718.059515569417
2024-03-01,32476.90885872657
2024-04-01,5400.883144900915
2024-05-01,5710.173203353531
2024-06-01,8595.187415084698
2024-07-01,8125.294345792497
2024-08-01,7775.9225573544545
2024-09-01,11771.115443938706
2024-10-01,16482.931684069044
2024-11-01,28894.583012362964
2024-12-01,36451.836376123225
2025-01-01,29245.213916831704
2025-02-01,23205.93626746267
2025-03-01,27193.435701460676
2025-04-01,4522.562934409091
2025-05-01,4780.3653563977405
2025-06-01,7198.1082660381435
2025-07-01,6802.075838407919
2025-08-01,6511.92732357549
2025-09-01,9854.62972649304
2025-10-01,13802.9862211709
2025-11-01,24191.97997007708
2025-12-01,30523.400249112758
2026-01-01,24486.97388092539
2026-02-01,19430.7747651172
2026-03-01,22769.864906153896
2026-04-01,3786.59903475344
2026-05-01,4002.668441367385
2026-06-01,6026.806207639889
