fecha,prediccion
2021-04-01,9550.0
2021-05-01,9169.0
2021-06-01,10399.0
2021-07-01,12437.0
2021-08-01,14098.0
2021-09-01,19783.528915275994
2021-10-01,21063.82183411262
2021-11-01,19638.0
2021-12-01,5715.0
2022-01-01,60972.0
2022-02-01,36679.0
2022-03-01,44984.64027510227
2022-04-01,9550.0
2022-05-01,9169.0
2022-06-01,10399.0
2022-07-01,12437.0
2022-08-01,14098.0
2022-09-01,19783.528915275994
2022-10-01,21063.82183411262
2022-11-01,19638.0
2022-12-01,5715.0
2023-01-01,60972.0
2023-02-01,36679.0
2023-03-01,44984.64027510227
2023-04-01,9550.0
2023-05-01,9169.0
2023-06-01,10399.0
2023-07-01,12437.0
2023-08-01,14098.0
2023-09-01,19783.528915275994
2023-10-01,21063.82183411262
2023-11-01,19638.0
2023-12-01,5715.0
2024-01-01,60972.0
2024-02-01,36679.0
2024-03-01,44984.64027510227
2024-04-01,9550.0
2024-05-01,9169.0
2024-06-01,10399.0
2024-07-01,12437.0
2024-08-01,14098.0
2024-09-01,19783.528915275994
2024-10-01,21063.82183411262
2024-11-01,19638.0
2024-12-01,5715.0
2025-01-01,60972.0
2025-02-01,36679.0
2025-03-01,44984.64027510227
2025-04-01,9550.0
2025-05-01,9169.0
2025-06-01,10399.0
2025-07-01,12437.0
2025-08-01,14098.0
2025-09-01,19783.528915275994
2025-10-01,21063.82183411262
2025-11-01,19638.0
2025-12-01,5715.0
2026-01-01,60972.0
2026-02-01,36679.0
2026-03-01,44984.64027510227
2026-04-01,9550.0
2026-05-01,9169.0
2026-06-01,10399.0
