fecha,prediccion
2021-04-01,3095.0069383061978
2021-05-01,2854.7847545441573
2021-06-01,4389.344753707924
2021-07-01,4442.21546266075
2021-08-01,3085.22483273747
2021-09-01,3535.2404431376904
2021-10-01,4761.081061925476
2021-11-01,5852.135526615478
2021-12-01,8170.299930809238
2022-01-01,5964.216821065389
2022-02-01,5655.650274229942
2022-03-01,7503.04290048895
2022-04-01,2359.547165560936
2022-05-01,2175.8019704597623
2022-06-01,3338.010538615939
2022-07-01,3358.8263723827304
2022-08-01,2341.426565068553
2022-09-01,2642.326700599059
2022-10-01,3591.5068886578642
2022-11-01,4430.614516028644
2022-12-01,6221.5344743428805
2023-01-01,4538.13228998453
2023-02-01,4297.586804990611
2023-03-01,5587.907263654712
2023-04-01,1799.8450594785331
2023-05-01,1658.5617309150452
2023-06-01,2537.9041777988436
2023-07-01,2539.0270745934877
2023-08-01,1776.686084016594
2023-09-01,1974.8535246343731
2023-10-01,2709.7776240220787
2023-11-01,3355.0750522122944
2023-12-01,4737.173598333929
2024-01-01,3452.69164918531
2024-02-01,3264.706336209541
2024-03-01,4438.984899636208
2024-04-01,1333.1906883374722
2024-05-01,1229.5351985076604
2024-06-01,1894.2592590779063
2024-07-01,1928.098141821095
2024-08-01,1334.0995565207982
2024-09-01,1552.4486911350507
2024-10-01,2072.3126456397144
2024-11-01,2538.1507921983907
2024-12-01,3522.39817761329
2025-01-01,2573.078421380561
2025-02-01,2442.7385321094844
2025-03-01,3307.0103330408892
2025-04-01,1015.6628134701082
2025-05-01,936.77895885737
2025-06-01,1440.6958160469148
2025-07-01,1458.057432085086
2025-08-01,1012.4505781078947
2025-09-01,1160.226130841478
2025-10-01,1562.7661112732412
2025-11-01,1921.0451861669617
2025-12-01,2682.2810594120456
2026-01-01,1957.8502988243542
2026-02-01,1856.5236093498509
2026-03-01,2463.1680460138714
2026-04-01,774.1534704185894
2026-05-01,713.8154573793981
2026-06-01,1095.4600261047344
