fecha,prediccion
2021-04-01,72683.73222011545
2021-05-01,75739.00782822657
2021-06-01,61734.52379186647
2021-07-01,96094.57056071621
2021-08-01,73223.93816265653
2021-09-01,75146.39590861082
2021-10-01,58847.34251584782
2021-11-01,95387.51573281019
2021-12-01,88716.56206609662
2022-01-01,110457.23810471069
2022-02-01,65655.6145174316
2022-03-01,66103.09074578658
2022-04-01,9894.593676903292
2022-05-01,11934.090589334552
2022-06-01,10026.12413701019
2022-07-01,15845.28679718347
2022-08-01,12491.44836427094
2022-09-01,19954.029159477053
2022-10-01,16395.90383504861
2022-11-01,35041.612473216024
2022-12-01,28376.520873679023
2023-01-01,51307.29729880561
2023-02-01,26040.974464165625
2023-03-01,40676.59532327368
2023-04-01,11576.323398680646
2023-05-01,15548.134591407188
2023-06-01,10656.790600823575
2023-07-01,20148.73962614934
2023-08-01,12923.776724014539
2023-09-01,19606.872360199723
2023-10-01,12999.401913776815
2023-11-01,28888.922651222012
2023-12-01,20870.022502032898
2024-01-01,37262.25293785939
2024-02-01,17038.985721644865
2024-03-01,25374.876123311507
2024-04-01,4213.206402982616
2024-05-01,6461.781253336036
2024-06-01,4084.1174511754048
2024-07-01,8487.764447070052
2024-08-01,5024.232831533043
2024-09-01,9501.181239336049
2024-10-01,5835.636412693362
2024-11-01,15401.629553613591
2024-12-01,9755.052826847628
2025-01-01,21285.982122240337
2025-02-01,8482.146514105114
2025-03-01,15745.499457214259
2025-04-01,2880.689998035394
2025-05-01,4998.082739562538
2025-06-01,2714.364371505755
2025-07-01,6519.700691639153
2025-08-01,3312.350458535293
2025-09-01,6767.238774538106
2025-10-01,3557.510349727269
2025-11-01,10420.768092923792
2025-12-01,5816.386549946584
2026-01-01,13878.397865140676
2026-02-01,4885.868513299879
2026-03-01,9819.419394324825
2026-04-01,1396.2535815663832
2026-05-01,2766.812315978961
2026-06-01,1335.4930996912217
