fecha,prediccion
2021-04-01,37260.962810963916
2021-05-01,34905.36898789654
2021-06-01,45140.60926258994
2021-07-01,47773.501836135736
2021-08-01,40299.91421169333
2021-09-01,39569.96457876573
2021-10-01,48250.19385039823
2021-11-01,61220.45892766644
2021-12-01,72627.43068620857
2022-01-01,59456.335561164975
2022-02-01,49828.990991520215
2022-03-01,58707.9801510181
2022-04-01,36361.37388831885
2022-05-01,34062.64948247012
2022-06-01,44050.78767028653
2022-07-01,46620.11620117328
2022-08-01,39326.958058491415
2022-09-01,38614.63107757497
2022-10-01,47085.29978101104
2022-11-01,59742.433023370984
2022-12-01,70874.01441971
2023-01-01,58020.89962580742
2023-02-01,48625.98115173032
2023-03-01,57290.6112251895
2023-04-01,35483.503097750014
2023-05-01,33240.275151446534
2023-06-01,42987.276861370105
2023-07-01,45494.575930825966
2023-08-01,38377.49128994913
2023-09-01,37682.36150995806
2023-10-01,45948.52891614187
2023-11-01,58300.090041567615
2023-12-01,69162.92962829048
2024-01-01,56620.11839377746
2024-02-01,47452.01471824731
2024-03-01,55907.46082379671
2024-04-01,34626.82611392489
2024-05-01,32437.754815828594
2024-06-01,41949.44163341188
2024-07-01,44396.2087743678
2024-08-01,37450.94681864957
2024-09-01,36772.59905985939
2024-10-01,44839.20229737455
2024-11-01,56892.56851497506
2024-12-01,67493.1543334179
2025-01-01,55253.15522135355
2025-02-01,46306.39051688108
2025-03-01,54557.702833473544
2025-04-01,33790.831269922724
2025-05-01,31654.60915480259
2025-06-01,40936.66211922102
2025-07-01,43324.35871074125
2025-08-01,36546.77124796188
2025-09-01,35884.80035403533
2025-10-01,43756.657357900505
2025-11-01,55519.02777410029
2025-12-01,65863.69122945672
2026-01-01,53919.19366330554
2026-02-01,45188.424301388855
2026-03-01,53240.531085118
2026-04-01,32975.019251631275
2026-05-01,30890.370419454408
2026-06-01,39948.33341661711
