fecha,prediccion
2021-04-01,208920.20333529176
2021-05-01,177945.7926464423
2021-06-01,171711.82130085514
2021-07-01,202741.25727065682
2021-08-01,214166.2922201724
2021-09-01,185911.64436145325
2021-10-01,212475.05690655578
2021-11-01,206098.78826940968
2021-12-01,203038.86488154996
2022-01-01,194702.18990687735
2022-02-01,211990.18144205917
2022-03-01,229673.91889265622
2022-04-01,193456.94196823472
2022-05-01,212697.8002309116
2022-06-01,220671.8430621318
2022-07-01,226766.28086764627
2022-08-01,202231.26790745085
2022-09-01,218595.4185637547
2022-10-01,223982.73439795515
2022-11-01,209731.95553595107
2022-12-01,221907.51515089016
2023-01-01,209204.92529479685
2023-02-01,218188.55909891563
2023-03-01,234654.5308273124
2023-04-01,238948.77410903753
2023-05-01,232500.494066214
2023-06-01,263583.5348650421
2023-07-01,232318.50446052922
2023-08-01,238710.219031416
2023-09-01,213234.88969440415
2023-10-01,249651.99580389488
2023-11-01,276188.92907682573
2023-12-01,227576.84378207568
2024-01-01,243652.5167002207
2024-02-01,267564.4374258215
2024-03-01,253128.85896846774
2024-04-01,252442.17568843224
2024-05-01,270040.07295443147
2024-06-01,239005.7667791973
2024-07-01,279101.086296171
2024-08-01,276291.7635344313
2024-09-01,250928.6870356155
2024-10-01,298890.5035793964
2024-11-01,267755.5570246747
2024-12-01,259766.339443789
2025-01-01,304304.53114311874
2025-02-01,289503.2606911135
2025-03-01,300452.01364555734
2025-04-01,257922.38060515816
2025-05-01,283783.6758441448
2025-06-01,255570.1581071803
2025-07-01,270459.0978460536
2025-08-01,268023.3284903151
2025-09-01,240642.92284430756
2025-10-01,246782.38830892465
2025-11-01,224468.9881518687
2025-12-01,223415.08849367336
2026-01-01,179828.91350057378
2026-02-01,204212.28680386482
2026-03-01,186865.86535600555
2026-04-01,197265.68762225832
2026-05-01,183180.18201900984
2026-06-01,178988.91671136682
