fecha,prediccion
2021-04-01,24797.09710837789
2021-05-01,28222.60381186211
2021-06-01,31867.38692620298
2021-07-01,35133.52794666824
2021-08-01,38669.8381800953
2021-09-01,42217.14038903111
2021-10-01,44825.72413166225
2021-11-01,47096.38214497555
2021-12-01,48317.08566307883
2022-01-01,49298.78545911334
2022-02-01,50452.78591388696
2022-03-01,51940.98061097911
2022-04-01,52804.72739474449
2022-05-01,54403.19782930425
2022-06-01,55872.931449838004
2022-07-01,57210.96059580978
2022-08-01,58439.163479225754
2022-09-01,59558.88669397699
2022-10-01,60576.74678956765
2022-11-01,61518.4393670733
2022-12-01,62393.577543712396
2023-01-01,63224.5772427262
2023-02-01,64016.273346537186
2023-03-01,64765.405041138096
2023-04-01,65466.08508585807
2023-05-01,66131.26264793884
2023-06-01,66747.75797839982
2023-07-01,67319.44189118478
2023-08-01,67850.18349822733
2023-09-01,68343.2690365871
2023-10-01,68801.6321255876
2023-11-01,69228.2215788664
2023-12-01,69625.18985225077
2024-01-01,69994.52804982365
2024-02-01,70337.97652199914
2024-03-01,70656.88683758047
2024-04-01,70952.74230010775
2024-05-01,71227.17857106168
2024-06-01,71481.46343381298
2024-07-01,71717.0771403876
2024-08-01,71935.31500067771
2024-09-01,72137.50370884915
2024-10-01,72324.74912459098
2024-11-01,72498.10494200343
2024-12-01,72658.71956581202
2025-01-01,72807.28345550699
2025-02-01,72944.77586594792
2025-03-01,73072.01331515433
2025-04-01,73189.64667939654
2025-05-01,73298.48673047933
2025-06-01,73399.07479950713
2025-07-01,73492.16070260058
2025-08-01,73578.146118341
2025-09-01,73657.69042388002
2025-10-01,73731.22935311472
2025-11-01,73799.1512020449
2025-12-01,73861.87253512377
2026-01-01,73919.93977036855
2026-02-01,73973.57101821747
2026-03-01,74023.06232065894
2026-04-01,74068.83874702819
2026-05-01,74111.12295965274
2026-06-01,74150.18970878607
