fecha,prediccion
2021-04-01,81006.651289124
2021-05-01,80010.95056343573
2021-06-01,77284.55949362252
2021-07-01,82342.70662361333
2021-08-01,86799.18477637843
2021-09-01,83646.62090062261
2021-10-01,81437.73701498372
2021-11-01,88385.8630452976
2021-12-01,80061.67002667367
2022-01-01,86032.28256480281
2022-02-01,86882.67367934258
2022-03-01,82132.21127820596
2022-04-01,81495.05528823989
2022-05-01,83769.62717459783
2022-06-01,80213.6624600876
2022-07-01,85305.91785088438
2022-08-01,86924.55296335272
2022-09-01,90721.41289928056
2022-10-01,85803.34688818945
2022-11-01,87719.9993164373
2022-12-01,84001.72394521038
2023-01-01,85098.2750825478
2023-02-01,91540.76384447301
2023-03-01,89236.29313419193
2023-04-01,91603.64777664749
2023-05-01,87355.70289433461
2023-06-01,89282.59523280576
2023-07-01,87661.89360575704
2023-08-01,94167.54824610907
2023-09-01,86903.6107986472
2023-10-01,88341.51600300196
2023-11-01,90877.09256199455
2023-12-01,97755.72399220653
2024-01-01,95537.8760971595
2024-02-01,93755.30283885049
2024-03-01,100437.34734982386
2024-04-01,90584.73768927388
2024-05-01,91739.01823101763
2024-06-01,94806.80784181003
2024-07-01,92180.43463388336
2024-08-01,101316.78720230552
2024-09-01,98800.28597298282
2024-10-01,99697.5421162347
2024-11-01,104058.0857651947
2024-12-01,99273.11548403003
2025-01-01,103434.96049557088
2025-02-01,102532.33485392701
2025-03-01,103329.02139572568
2025-04-01,103784.86275525471
2025-05-01,95501.77430264598
2025-06-01,99263.03539467423
2025-07-01,86973.9366070867
2025-08-01,82971.18009097599
2025-09-01,75746.18253938905
2025-10-01,72371.9913622432
2025-11-01,61396.01672086932
2025-12-01,59939.06217388477
2026-01-01,57042.38006701034
2026-02-01,59839.61502029556
2026-03-01,53518.996954761606
2026-04-01,54378.44678962588
2026-05-01,51790.87003445098
2026-06-01,52947.31398071624
