fecha,prediccion
2021-04-01,64931.08516979503
2021-05-01,69499.65300051673
2021-06-01,73865.85040820496
2021-07-01,77896.18070421828
2021-08-01,81687.53773970908
2021-09-01,85295.85438793797
2021-10-01,88743.86035049688
2021-11-01,92071.71743815736
2021-12-01,95300.94640794669
2022-01-01,98440.12289326033
2022-02-01,101474.95040509767
2022-03-01,104405.65885911968
2022-04-01,107203.61116181199
2022-05-01,109749.15798895844
2022-06-01,112208.4412678068
2022-07-01,114595.64811635308
2022-08-01,116906.57614207029
2022-09-01,119141.65839453014
2022-10-01,121330.16576277708
2022-11-01,123448.15108829866
2022-12-01,125534.34141335332
2023-01-01,127536.32875351283
2023-02-01,129502.21179572602
2023-03-01,131344.41964751706
2023-04-01,133148.39681691403
2023-05-01,134830.82693406483
2023-06-01,136444.96020417043
2023-07-01,137992.05623784216
2023-08-01,139472.93600723357
2023-09-01,140889.13111384417
2023-10-01,142242.19024474904
2023-11-01,143534.0970983634
2023-12-01,144766.61732858475
2024-01-01,145941.78525362155
2024-02-01,147061.61747746103
2024-03-01,148127.9540682663
2024-04-01,149143.0707012956
2024-05-01,150108.75622791334
2024-06-01,151026.8544027675
2024-07-01,151899.36181891366
2024-08-01,152728.1327201156
2024-09-01,153515.0465936676
2024-10-01,154262.10933528075
2024-11-01,154971.19159286376
2024-12-01,155643.68692285958
2025-01-01,156281.49255755663
2025-02-01,156886.12412988418
2025-03-01,157459.37276231285
2025-04-01,158002.5210374972
2025-05-01,158517.15424836072
2025-06-01,159004.52278095292
2025-07-01,159466.09894314897
2025-08-01,159902.97247648617
2025-09-01,160316.5246994446
2025-10-01,160707.9740902906
2025-11-01,161078.0674051288
2025-12-01,161428.44611067267
2026-01-01,161759.78085710586
2026-02-01,162073.25379427994
2026-03-01,162369.52607010477
2026-04-01,162649.80828356085
2026-05-01,162914.63191444168
2026-06-01,163165.03832305485
