serie,order,seasonal_order,aic,bic,ljung_box_p,jarque_bera_p,seleccionado
total,"(1, 1, 2)","(1, 1, 1, 12)",68.54748489888543,85.2222258575546,0.004570339752838374,0.0,True
total,"(2, 1, 2)","(0, 1, 1, 12)",69.19386295171353,85.86860391038272,7.128616446374596e-07,0.0,False
total,"(1, 1, 2)","(0, 1, 1, 12)",69.44785917313361,83.34347663869126,8.796280721261329e-06,0.0,False
via_aerea,"(2, 1, 2)","(1, 1, 0, 12)",165.05536469044415,181.78031514713643,0.16113428399026128,0.0,True
via_aerea,"(2, 1, 2)","(1, 1, 1, 12)",165.2066979450029,184.6605623967836,0.22481972304164083,0.0,False
via_aerea,"(0, 1, 1)","(1, 1, 0, 12)",166.80509595254276,175.21715908674253,0.9999999905428787,0.0,False
via_terrestre,"(0, 1, 1)","(1, 1, 0, 12)",124.17946112416001,132.59152425835978,0.5395255593186965,0.0,True
via_terrestre,"(1, 1, 0)","(1, 1, 0, 12)",124.31547977265495,132.70285140944517,0.8680527714611279,0.0,False
via_terrestre,"(2, 1, 2)","(0, 1, 1, 12)",124.94224877385524,141.61698973252442,4.29070617181905e-05,0.0,False
via_maritima,"(1, 2, 2)","(1, 1, 1, 12)",498.3991765923261,515.0232843391201,0.01993436840687489,5.041704201256656e-67,True
via_maritima,"(2, 2, 2)","(1, 1, 1, 12)",500.34565266422624,519.7404450354859,0.020173132126305254,1.1377346320704045e-67,False
via_maritima,"(1, 2, 2)","(0, 1, 1, 12)",504.0590946512354,517.9125177735638,0.0051986948354807525,1.0839548229917604e-69,False
pais_el_salvador,"(2, 1, 2)","(1, 1, 1, 12)",400.61507312357236,420.06893757535306,0.10197479186352797,0.0,True
pais_el_salvador,"(2, 1, 2)","(0, 1, 1, 12)",411.5389259693866,428.2136669280558,0.04809132739107478,0.0,False
pais_el_salvador,"(1, 1, 2)","(0, 1, 1, 12)",411.8027234723428,425.6983409379004,0.07699729494621355,0.0,False
pais_estados_unidos,"(1, 1, 2)","(1, 1, 1, 12)",365.515168631429,382.1899095900982,0.8243873304793848,0.0,True
pais_estados_unidos,"(2, 1, 1)","(1, 1, 0, 12)",368.34392964844005,382.2813883623503,0.7537463376469173,0.0,False
pais_estados_unidos,"(1, 1, 2)","(1, 1, 0, 12)",368.9564870521589,382.9354397801426,0.6695834489095567,0.0,False
pais_honduras,"(1, 1, 2)","(0, 1, 1, 12)",360.2051351816983,374.10075264725594,0.010655063689547255,0.0,True
pais_honduras,"(2, 1, 1)","(1, 1, 1, 12)",363.1303285399893,379.8552789966816,0.1444444852728819,0.0,False
pais_honduras,"(2, 1, 1)","(0, 1, 1, 12)",365.0212210873094,378.95867980121966,0.005041016973546842,0.0,False
