serie,modelo,ventana,unidades,capas,dropout,mae,rmse,mape,mape_excluidos,mejor
total,lstm_directo,24,64,2,0.0,76957.26499321785,100289.61372388234,33.763997925089775,0,True
total,lstm_recursivo,24,64,1,0.2,143302.83494347328,164705.66192836477,46.89591665146726,0,False
via_aerea,lstm_directo,24,32,2,0.0,22634.83263640288,29623.40768002837,24.931347333656745,0,True
via_aerea,lstm_recursivo,12,32,1,0.0,31638.00178355881,37765.91303560975,31.14340860358248,0,False
