clave,n,inicio,fin,media,min,fecha_min,max,fecha_max,n_ceros,std_2009_2013,std_2014_2019,adf_niveles,adf_d1,adf_d1D1,adf_d2,d_sugerido,D_sugerido,factor_max_mes,factor_min_mes,amplitud_estacional_log
total,147,2009-01-01,2021-03-01,237120.91144306015,9779.0,2020-05-01,515820.44595176575,2019-12-01,0,31782.430791873758,74035.94602564583,0.19358137884673693,0.026531787801159955,7.694932434797626e-08,0.02191107573513794,1,1,diciembre (1.372),septiembre (0.802),0.7233958169127263
via_aerea,147,2009-01-01,2021-03-01,89141.25507585192,489.0,2020-04-01,157842.00000000003,2019-12-01,0,11554.349872933493,18463.56832951344,0.001319708860650759,0.01922391517778857,2.048948949682509e-08,0.010317671879010585,1,1,diciembre (1.288),septiembre (0.815),0.953212312779288
via_terrestre,147,2009-01-01,2021-03-01,139988.46589101772,5715.0,2020-12-01,348626.4459517657,2019-12-01,0,20031.656575587225,57068.21269494033,0.5618963338518633,0.009070833750133924,1.1168871782053383e-06,0.015610672814399448,1,1,diciembre (1.400),febrero (0.806),0.5782717959049672
via_maritima,147,2009-01-01,2021-03-01,7991.190476190476,0.0,2017-08-01,29506.0,2018-01-01,16,5147.615718276845,7742.468713980821,1.0,0.5749719689733612,0.13267047349126748,0.6994036320931795,2,1,diciembre (3.328),junio (0.153),3.272704721465871
pais_el_salvador,147,2009-01-01,2021-03-01,61502.012810111955,0.0,2020-04-01,165263.0,2019-08-01,5,9515.384802065659,28198.847951515712,0.4324787105759871,2.253909223076873e-07,7.630428607927348e-06,3.0842720708707737e-07,1,1,diciembre (1.381),febrero (0.800),1.7204787053875572
pais_estados_unidos,147,2009-01-01,2021-03-01,27955.115397417456,0.0,2020-04-01,54990.0,2019-07-01,5,6840.27278786041,9226.494782405398,0.05011616428827238,0.03071836409530909,2.5353277915451722e-06,0.0035402652746548413,1,1,julio (1.449),septiembre (0.606),1.814600619215729
pais_honduras,147,2009-01-01,2021-03-01,9123.624599948811,0.0,2020-04-01,23061.0,2020-01-01,5,1365.8841226926334,3717.427189251468,0.003983932488192461,3.87147467956248e-06,4.781174433759125e-08,1.2336207362855405e-06,1,1,enero (1.216),febrero (0.824),1.628747046736787
