clave,etiqueta,categoria,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
total,Total,Referencia,0.18853956981443765,-0.5803525822596834,8.578892078876315,10.0,0.4535297276452957,-0.12660076200146908,0.9138755980861244,30.0,0.013774104683195593,11.0,0.2910469282155385,9.0,0.05555555555555555,0.21904761904761916,0.32380952380952377,0.8291291376080843,6.0,1.8467971923124176,0.7619047619047619,0.8571428571428571,0.14726215563703127,0.6273548545288875
via_aerea,Vía Aérea,Vía de ingreso,-0.4076826965328071,-0.12281935293363366,6.43669228282173,10.0,0.20734602641303718,-0.17492389680433804,0.9617224880382775,34.0,0.010204081632653059,11.0,0.19908390758059813,9.0,0.07142857142857142,0.18571428571428572,0.32380952380952377,0.7558887664558095,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.17180584824320314,0.7430239226144825
via_terrestre,Vía Terrestre,Vía de ingreso,-0.5470594404761461,-0.7815738630662773,8.996925436126327,3.0,0.5374755767532009,-0.08783277406003732,0.9090909090909091,30.0,0.005509641873278237,3.0,0.30164808229791396,2.0,0.05555555555555555,0.2571428571428571,0.30952380952380953,0.8341619214459228,6.0,1.768209299399012,0.7619047619047619,0.8333333333333334,0.12271846303085937,0.6045381184754927
via_maritima,Vía Marítima,Vía de ingreso,-0.4323786831620691,-0.6522838256321263,2.7709736189362166,6.0,0.12295225192774836,-0.08227793415654476,0.6698564593301436,9.0,0.008328375966686499,11.0,0.1710667362665241,4.0,0.2,0.03333333333333344,0.42380952380952386,0.7468373334016951,5.0,1.843130183753835,0.8571428571428571,0.8571428571428571,0.5154175447296094,0.8690469660188351
pais_el_salvador,El Salvador,País de residencia,-0.36748725854452097,-0.5903979610927177,13.873638669044677,3.0,0.4764278536825684,-0.03584815469143835,0.9043062200956937,50.0,0.020833333333333336,3.0,0.3187666781614878,2.0,0.038461538461538464,0.7285714285714286,0.3047619047619048,0.8595588761877697,5.0,1.7811651074029464,0.8571428571428571,0.8571428571428571,0.07363107781851563,0.5309668814603071
pais_estados_unidos,Estados Unidos,País de residencia,-0.6289764871793307,-0.3733924505288877,9.224246636593449,2.0,0.22862263995659493,0.012101130836253549,0.9234449760765551,12.0,0.020833333333333336,5.0,0.2800086957549849,1.0,0.038461538461538464,0.8285714285714285,0.319047619047619,0.7234451062887964,5.0,1.973228305888631,0.16666666666666666,0.14285714285714285,0.0981747704246875,0.7389988033520808
pais_honduras,Honduras,País de residencia,-0.22230197908497018,-0.4318447255277388,18.925416176935016,8.0,0.47683510494264303,-0.141468590284077,0.84688995215311,39.0,0.1111111111111111,2.0,0.1755535469351342,1.0,0.015625,0.7333333333333334,0.3142857142857143,0.8812100544107956,5.0,1.7610307535543932,0.8571428571428571,0.7380952380952381,0.04908738521234375,0.4467685753422445
