clave,etiqueta,categoria,fs,ft,amplitud_estacional_log,factor_max_mes,factor_min_mes,pendiente_viajeros_mes,pendiente_pct_media,cv_2009_2019,vol_retornos_log,media_2019,min_pandemia,fecha_min_pandemia,caida_pct,mes_recuperacion_80
total,Total,Referencia,0.1890005127669886,0.5053315575947426,0.7233958169127263,diciembre (1.372),septiembre (0.802),1893.2285201762948,0.7501264326208942,0.335130775215773,0.20080749835241038,390985.0167029129,9779.0,2020-05-01,97.49888113808962,2022-04
via_aerea,Vía Aérea,Vía de ingreso,0.14158011950814575,0.24063342349781314,0.953212312779288,diciembre (1.288),septiembre (0.815),407.3175251056424,0.42806767142591756,0.2163995745167531,0.17060127386239912,123615.49250296135,489.0,2020-04-01,99.60441851575499,2021-12
via_terrestre,Vía Terrestre,Vía de ingreso,0.16881663357687315,0.6527774557995785,0.5782717959049672,diciembre (1.400),febrero (0.806),1447.8330703838487,0.9739606680422185,0.43098456944525065,0.23627931843588862,256470.4408666182,5715.0,2020-12-01,97.77167303152406,2022-04
via_maritima,Vía Marítima,Vía de ingreso,0.40483808374903973,0.6901659939421407,3.272704721465871,diciembre (3.328),junio (0.153),38.07792468680375,0.4437387103933737,0.7895380954805311,2.184599308039637,10899.083333333334,0.0,2020-04-01,100.0,2022-12
pais_el_salvador,El Salvador,País de residencia,0.10513113715652189,0.1852993789559323,1.7204787053875572,diciembre (1.381),febrero (0.800),640.5468901305524,0.9781772045482616,0.4533455848552173,0.2669885728032092,114256.41666666667,0.0,2020-04-01,100.0,2022-04
pais_estados_unidos,Estados Unidos,País de residencia,0.10911291615443186,0.1066023414850128,1.814600619215729,julio (1.449),septiembre (0.606),111.82857151265804,0.37412145867728486,0.30002613270580775,0.31812988567329653,38728.916666666686,0.0,2020-04-01,100.0,2021-12
pais_honduras,Honduras,País de residencia,0.11872661136117024,0.11626193001272833,1.628747046736787,enero (1.216),febrero (0.824),55.813708128740096,0.5791642071553542,0.33543179883657526,0.2192725484877752,17402.166666666668,0.0,2020-04-01,100.0,2022-03
