comunidad,autores,comentarios,comentarios_por_autor,videos,canales,videos_principales,canales_principales,comentarios_con_emoji,tono_emoji_positivo,tono_emoji_negativo,tono_emoji_sin_direccion
1,126,161,1.2777777777777777,3,3,Qué rico come tu diputado (159); Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt (1); Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales (1),Quorum (159); Gobierno de la República de Guatemala (1); PrensaLibreOficial (1),10,4,5,1
2,61,83,1.360655737704918,3,2,Inician los trabajos de recuperación del Puente Belice II. (45); Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt (24); Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto (14),Gobierno de la República de Guatemala (69); Noti7 (14),20,15,1,4
3,55,60,1.0909090909090908,4,2,La cooptación de Walter Mazariegos en la USAC (50); Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu (7); Qué rico come tu diputado (2),Quorum (53); TN23 Guatemala (7),12,4,4,4
