author_channel_id,author_name,n_comentarios,n_videos,n_canales,canales
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,4,3,1,['Quorum']
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3,3,1,['Quorum']
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,3,2,2,"['Gobierno de la República de Guatemala', 'Quorum']"
UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,3,2,1,['Quorum']
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2,2,1,['Quorum']
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,2,"['Quorum', 'TN23 Guatemala']"
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,2,2,2,"['Gobierno de la República de Guatemala', 'Noti7']"
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,2,2,2,"['PrensaLibreOficial', 'Quorum']"
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,2,2,1,['Gobierno de la República de Guatemala']
