red,nodo,tipo,grado,aislado
bipartita,UC-HeUTT6_g-VoiWds2a4H-w,autor,1,False
bipartita,UC-Iul5tDYH_oiAMXQH-KaaQ,autor,1,False
bipartita,UC-QOpE7GOxlXcHZ8b7HbQKA,autor,1,False
bipartita,UC-fiZBS5Gp1eCJd9ucgWnCg,autor,1,False
bipartita,UC-hfX8J5JPJ-dfuakzegMLA,autor,1,False
bipartita,UC-jS_kA9w-OmpupXDx156Rg,autor,1,False
bipartita,UC-pNP6RMFuLg_-x7Ah_0kEA,autor,1,False
bipartita,UC094EFEmMSdwVa8NQjjYBXg,autor,1,False
bipartita,UC0HvfEWozTHbwl_iEmJNvVA,autor,1,False
bipartita,UC0RpuMwkDKJYqgKHtsJRuWQ,autor,1,False
bipartita,UC0aEyakBPqcBkVJiErfSupQ,autor,1,False
bipartita,UC14qlobYKqD-DO0j6b75lcA,autor,1,False
bipartita,UC1DpqK6vaPEkBOMNvypsKYg,autor,1,False
bipartita,UC1NiEdJ7gk6FlDexIalWnGg,autor,1,False
bipartita,UC1WlJfQmaIskYhP4gmWoamw,autor,1,False
bipartita,UC1Y7x3h0c95Z8kUhi-Tzaeg,autor,1,False
bipartita,UC1vr9aaMI2crB0NvwFHUeoQ,autor,1,False
bipartita,UC2Y_EHWQKevubk4vOEBBFxw,autor,1,False
bipartita,UC2ngpd8UBQu4gcUYy0goAtg,autor,1,False
bipartita,UC2weSE8rpqkGMOp6StYtVfg,autor,1,False
bipartita,UC32oozucwCF3q8d4m8fyOUg,autor,1,False
bipartita,UC3E9mAgP7VoAE5mZoAexl5g,autor,1,False
bipartita,UC3MYTqpQqlWBuCB7Th0e0PA,autor,1,False
bipartita,UC3NMzdMYryaw82kPTnsaljg,autor,1,False
bipartita,UC3UVO7pTbeYvZ3ILEyRDskQ,autor,1,False
bipartita,UC3XTwHxygNCgjndsg-UiCQA,autor,1,False
bipartita,UC3YpzAr7pcdKC7BVFEpYzog,autor,1,False
bipartita,UC3iIU62XKUOWuqL8BqBzj9A,autor,1,False
bipartita,UC3qn1yJA5PeW9rkGPatQxiw,autor,1,False
bipartita,UC4Avya4kmR4Q0FrfFdBozSQ,autor,1,False
bipartita,UC4cXueR2bKGFJV0Fk76gwmA,autor,1,False
bipartita,UC4kg7zuTfqQKLd2bkZrSYBA,autor,1,False
bipartita,UC4wq3DcbfaG6dtCqn8Oyu3w,autor,1,False
bipartita,UC5H8ASmMC9WrURmzeB4ySog,autor,1,False
bipartita,UC5PrBbmUlQolwqmiru7yZhw,autor,1,False
bipartita,UC5PyGvSfFM--OVKmQ3COu6g,autor,1,False
bipartita,UC5bG9nc_JV3FsNP2KseQiYw,autor,1,False
bipartita,UC5fvhAfm89JH8eDFdvc0xYw,autor,1,False
bipartita,UC5hvEnRUzI4Kfvwnyi4QxqQ,autor,1,False
bipartita,UC5wuDq3U3vRAhOQI3D7gNdw,autor,1,False
bipartita,UC63tFvbQ_hJhGDi2nbjssjw,autor,1,False
bipartita,UC650pRT-OYzny3GwOH8Cgfw,autor,1,False
bipartita,UC6PvO1_k5lHKGdAPo5_C6TA,autor,1,False
bipartita,UC6Uj1FT5JjDSF8vudvDxPAA,autor,1,False
bipartita,UC6YSZqL0vEcI-niPKIMUGfw,autor,1,False
bipartita,UC6xI_MOaxajIWpoP8BH6E_Q,autor,1,False
bipartita,UC72gBAtyb_VXQlYDcFrh6oQ,autor,1,False
bipartita,UC7IMsCxfZyWN7YQo8-JYa6Q,autor,1,False
bipartita,UC7VUuJr9cGh845CmTvf7TlQ,autor,1,False
bipartita,UC7dadZG7kkGYnsNu6td0FbA,autor,1,False
bipartita,UC816IGbFCZinfYS1LRDaaHg,autor,1,False
bipartita,UC8F2V63KZ4ZEay6opX2hAQw,autor,1,False
bipartita,UC8G5cJONY8L9voMyBW8Eoug,autor,1,False
bipartita,UC8r11yOugM2NuRfitQOxLLg,autor,1,False
bipartita,UC8xlJWNHz1V_W6q3fbuQH8g,autor,1,False
bipartita,UC95PSMouTx2N5CbSq0hIyrQ,autor,1,False
bipartita,UC9Wp6vL5oCU37qC3Aj94WZA,autor,1,False
bipartita,UC9vMq1YF-e7C-VO0SHkbUTA,autor,1,False
bipartita,UC9xr9QvIcDvoZNUX5f-jaZw,autor,1,False
bipartita,UCA93ym2TXs_Ibyxb4Vcn-6Q,autor,1,False
bipartita,UCAKuKvcbfnBD3kF5njNu-IA,autor,1,False
bipartita,UCAV7QIjYhbDJaycQycM_0eQ,autor,1,False
bipartita,UCAlzM_N6xBlMYmM8EBzX86Q,autor,1,False
bipartita,UCAmtbUiIrUIhikru0ZoTFig,autor,1,False
bipartita,UCAxvOOHQk7dYPOajzFEVtbA,autor,1,False
bipartita,UCB5p8a5gklc80jJItP6xTHg,autor,1,False
bipartita,UCBlm80VQ4YoV3bUJR_XhkaQ,autor,1,False
bipartita,UCBtB5dIyx-C16UN8ClUD2UA,autor,1,False
bipartita,UCCBYcToQ2dwkd6TJh0FSyDg,autor,1,False
bipartita,UCCUmP4PlbwgikVFpYwbtRTg,autor,1,False
bipartita,UCCaYwkkbQGcvFoUmothVdQQ,autor,1,False
bipartita,UCDIMztpVm7G27qBuiWuT6oQ,autor,1,False
bipartita,UCDPWkUX3sNNaCx-m1dV4glA,autor,1,False
bipartita,UCDQaQv0hr2SS_PO-CMEwVHg,autor,1,False
bipartita,UCDUffaruH6dyUnUGwsTKpgg,autor,1,False
bipartita,UCDftMWXQoJ6nONfY7GVOVjg,autor,1,False
bipartita,UCDlr1VadSucIZgZ171pRBjQ,autor,1,False
bipartita,UCDrmf9y9nLgFY5wnA2hTuGA,autor,1,False
bipartita,UCEHXl4VvvVpq-_4xC5tsbhg,autor,1,False
bipartita,UCEgEQmRbtL5fwr9_DqAC--g,autor,1,False
bipartita,UCErZPJpHmLCsXs8ZWkAUupQ,autor,1,False
bipartita,UCFFrEmn6lPYiWyElpfzTy5Q,autor,1,False
bipartita,UCFOxCyF926Y9eHhMeVoWLzw,autor,1,False
bipartita,UCFUuDARXdmmIrLppEqf-rFg,autor,1,False
bipartita,UCFhxtoeARHPnXXPcDrOU3Xg,autor,1,False
bipartita,UCFjudnPLoaSL1BaRuLahyHg,autor,1,False
bipartita,UCFoIAE8k82D6AV-8gjjKaNg,autor,1,False
bipartita,UCFxE8GbokBrBsPEKM1xrOjQ,autor,1,False
bipartita,UCFybmWapGvBKcQod7cPPH9w,autor,1,False
bipartita,UCGGHbtfbbe0o68etrOf0qxw,autor,1,False
bipartita,UCGX_UbAQOXGZknv5iqklwTA,autor,1,False
bipartita,UCGZMgmM92E3njyXNe9-kjAQ,autor,1,False
bipartita,UCGj2v6Gl5bN8NSrzJMXS-CA,autor,1,False
bipartita,UCGm3gRBEHGRJYmtCryZLtDw,autor,1,False
bipartita,UCGqKxQS-z3NZzZF-2w338AA,autor,1,False
bipartita,UCGzXwyCzMzGmjmCbH3Hg01Q,autor,1,False
bipartita,UCHGd14aYuZZShLD73dkk6mg,autor,1,False
bipartita,UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,1,False
bipartita,UCHbwIx9pmQuf7i-4_xO2EpA,autor,1,False
bipartita,UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,1,False
bipartita,UCHu8x4MVkayU6VgwVKd--MQ,autor,1,False
bipartita,UCIUhbSCy3-SGRe5UtqM4fzQ,autor,1,False
bipartita,UCIXLDYqR_syskKRJy_x9W9Q,autor,1,False
bipartita,UCIgoiXdIKJyUGmUoH2Lxdzg,autor,1,False
bipartita,UCIp19h9igblA2YKfSLPDAug,autor,1,False
bipartita,UCJp3OrVYcBorC94sKwdch_A,autor,1,False
bipartita,UCJxJC56BSAX-ArD0NAb9qnQ,autor,1,False
bipartita,UCKDR0f2fu2UzWL8mBv5-BHw,autor,1,False
bipartita,UCKVzDUqbtdSMBcexaEtMmzQ,autor,1,False
bipartita,UCL13XhnRzbGokEkCkEOb0-g,autor,1,False
bipartita,UCL1MT278vSaQ83ZDkVWn1gw,autor,1,False
bipartita,UCLFdHr9BEbXHkoJopbEPLZw,autor,1,False
bipartita,UCLXYp1Cvc5DLtq5UQL5D9vw,autor,1,False
bipartita,UCLggDc_a5HriXv7I1h02sOA,autor,1,False
bipartita,UCLh1Kde4_vI1sTZBkTNP7RQ,autor,1,False
bipartita,UCN2N_wYOw6fMwCeSzdXLPIw,autor,1,False
bipartita,UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,1,False
bipartita,UCNBnKqWf4d-rS4HwJRQljmQ,autor,1,False
bipartita,UCNIeXbV_mEwpa412h1aqUWw,autor,1,False
bipartita,UCNiMNUJvaRJb0_QLClqwVnA,autor,1,False
bipartita,UCNkcuy42zEwddwEcOd_HpnA,autor,1,False
bipartita,UCNpt5CQlTzNjlAKY6CJtClQ,autor,1,False
bipartita,UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,1,False
bipartita,UCOARn3hnfkB7-_Rwa8Hoqcw,autor,1,False
bipartita,UCOLGv5Pf6BF2wFcwUzgcvHg,autor,1,False
bipartita,UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,1,False
bipartita,UCOS8ViEkccrTZx2w2ccxotA,autor,1,False
bipartita,UCOY3XpD9qMCRSA8AA8c4CAw,autor,1,False
bipartita,UCOcUI5XkTYNMSFhZNMIPpGg,autor,1,False
bipartita,UCOh6DaZC_x9HASnlRylEMfw,autor,1,False
bipartita,UCPLW0HE3siElqCgXfgWxMqg,autor,1,False
bipartita,UCPNXmbOBVeC4HS-xemvcPtQ,autor,1,False
bipartita,UCPZueDLrCS4BmTBRMA4q0fA,autor,1,False
bipartita,UCQIdKuZ-OzuFqy0KjGrgesg,autor,1,False
bipartita,UCQM2tCKRRytVDRxNUfCDqQQ,autor,1,False
bipartita,UCQMMuADgqWUOcJpLwHOzC-g,autor,1,False
bipartita,UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,1,False
bipartita,UCQgYjVngJRfPHDLGB5X6ZjA,autor,1,False
bipartita,UCQqetiwzzmRNTM5OWuXarGQ,autor,1,False
bipartita,UCQqlPPUGqAfWjd-FSh_qn7Q,autor,1,False
bipartita,UCQtICyzWmhC5woCtbNgaSmg,autor,1,False
bipartita,UCQtSFINs1h6GHkpg9o5kMvg,autor,1,False
bipartita,UCQyOePccUP-fIJYzchAgZYw,autor,1,False
bipartita,UCRAquv8el-tQ30bN7MlmySQ,autor,1,False
bipartita,UCRETAiYdh2dL5ZxB0_N1zDA,autor,1,False
bipartita,UCRcSR3Lvn9DZAmJpVPANfZQ,autor,1,False
bipartita,UCRelkU8JiZBytTzebJxaa-w,autor,1,False
bipartita,UCRfkkatKrNtAARnXMMYBGlA,autor,1,False
bipartita,UCRlCV9zSn7avAWh-9_XFWqQ,autor,1,False
bipartita,UCRvPToDkkumha7WJAfCDk1A,autor,1,False
bipartita,UCRznz9-N3Qc1w-qNdLSIY2Q,autor,1,False
bipartita,UCSTAUWVc1_82DHYeqOsqEFA,autor,1,False
bipartita,UCSou6a2OuYGSvPjm5psquyA,autor,1,False
bipartita,UCTD6q1nyIe3Y7HhqjaMj72w,autor,1,False
bipartita,UCTP3O0rMnc8z8v8jaDQwL0w,autor,1,False
bipartita,UCTTILH6QCIxbTnEWxwRqs1g,autor,1,False
bipartita,UCThW2XNsAaBKme5PUt7n-Zg,autor,1,False
bipartita,UCTwSut16JyAg3mX6LVUNGqA,autor,1,False
bipartita,UCTylKrsqkrBKIqubMu_5N0Q,autor,1,False
bipartita,UCUIIIPTVDVHAXqhC_5V6lPA,autor,1,False
bipartita,UCUoYsrx1oZnCZ0usbBJn4fA,autor,1,False
bipartita,UCV0iizTBoOfdAFX_thfI9BA,autor,1,False
bipartita,UCV0lM03g5fg5pbPj97-sAtA,autor,1,False
bipartita,UCV3fr-YOixFKCZBbJP1-X4w,autor,1,False
bipartita,UCVC2QugcI1G4RvlCiUqd1aQ,autor,1,False
bipartita,UCVQf0tzL7xRzFJsABVVULpg,autor,1,False
bipartita,UCVdjCrh4tQoX3haNAZv-n5A,autor,1,False
bipartita,UCVhif9eV0f8plICen2DnpKA,autor,1,False
bipartita,UCW-JC6lebVmf2P1dmY_L94g,autor,1,False
bipartita,UCW80DaMjQlEUibC98Cot-Dg,autor,1,False
bipartita,UCWIZUtKJ636y-4TYrNvok0g,autor,1,False
bipartita,UCWWkebAekppaL5b5CNlppuw,autor,1,False
bipartita,UCWaRixDdpgllTBf4V0jPnKQ,autor,1,False
bipartita,UCWoAVGVqCn4xtINCMOTM4jg,autor,1,False
bipartita,UCWvntqPQx99k_Z_skWKqNSA,autor,1,False
bipartita,UCXN2s7DwTJm33xO-pNkAdaA,autor,1,False
bipartita,UCXO1BBohNWXkK9SBDAG2ySg,autor,1,False
bipartita,UCXSkL3ejZ8qWYyF_M7s_QKA,autor,1,False
bipartita,UCXVLc8CmAO813ubM-fLvCDw,autor,1,False
bipartita,UCXXh7yg5KUFIWylTiKVEFKQ,autor,1,False
bipartita,UCXgr7vXlRrsaskPdo097kGA,autor,1,False
bipartita,UCXl30Y_upRqbti52fmjK4YA,autor,1,False
bipartita,UCXmrpc6Li0spcKxtS0Q_ptg,autor,1,False
bipartita,UCXr8_5WtGeipe4haOoQDgyQ,autor,1,False
bipartita,UCY7Hq7F9Lnucf-Yr6JkHZNw,autor,1,False
bipartita,UCYN4wSQ1Sx4_LurxLlW7MPg,autor,1,False
bipartita,UCYwpX26TrCxq8TvbKGRYLXA,autor,1,False
bipartita,UCZ51R_9Q9C0c8I3pAWhtmjQ,autor,1,False
bipartita,UCZFQwqh90apuL8eFhvRBkUg,autor,1,False
bipartita,UCZIQnb1fkwe39Iw2TAu-bGA,autor,1,False
bipartita,UCZLG9qH0tUjNhEGFIUt0CYw,autor,1,False
bipartita,UCZOmq6MwFDVoCaEl99BRRaw,autor,1,False
bipartita,UCZeIIQrGAedW8tCbKWmGY-A,autor,1,False
bipartita,UCZjm6U576nX8WOiLhmMR3bw,autor,1,False
bipartita,UC_3xuTXvMIWU5MYP9HkJ3vQ,autor,1,False
bipartita,UC_6KbBY1bsYXz9fwFS0eQRg,autor,1,False
bipartita,UC_LYoGs5C3mbZKZuKuqYCvw,autor,1,False
bipartita,UC_NRVt2UP88ZNTwzrZ66JSg,autor,1,False
bipartita,UC_ljZ1hZXR9pzexFz87P5ZA,autor,1,False
bipartita,UCa36MjQLoPAmgJo-R3G8WQA,autor,1,False
bipartita,UCaKAjTW9MVub_clgr4DRYjQ,autor,1,False
bipartita,UCaT4saRcyqCLE657Rq2hhZQ,autor,1,False
bipartita,UCaT6M2zp7X6r6Whd8Vv3kHQ,autor,1,False
bipartita,UCat2qkYvqmtDNEmo2PVuhXw,autor,1,False
bipartita,UCbNanjFI51cwGqMAb2rOrBw,autor,1,False
bipartita,UCbYoNG5J3Au5BqtbXogfEFw,autor,1,False
bipartita,UCcFIBN-rtC3d3hXeuN5TfWw,autor,1,False
bipartita,UCc_F88PzGWtA1OPNUEASulA,autor,1,False
bipartita,UCcfdg8crmMJwEuLUsAhV7yg,autor,1,False
bipartita,UCdQAuWwyC99MB7Y02Umj26Q,autor,1,False
bipartita,UCe8JZoYkX5oKUZyivHYdXhw,autor,1,False
bipartita,UCeDNEtI8_a42bZ47wJiJMwQ,autor,1,False
bipartita,UCeQk-WfEA-cJRq4EKeE7TOw,autor,1,False
bipartita,UCefAH1MbvADWUjE9WVcB9EQ,autor,1,False
bipartita,UCf5lnNZF7Qrtli9v4N_23WQ,autor,1,False
bipartita,UCfM3nrxtTQMY5jFx1v1J4Gg,autor,1,False
bipartita,UCfRqgt2O-vjzUDMZY_tnxQw,autor,1,False
bipartita,UCfXykdbSU97rj987LDUGfvg,autor,1,False
bipartita,UCfjhejO7LZy4doXURa7LZCQ,autor,1,False
bipartita,UCfo_yUPzy1f1POwwZxhZ06Q,autor,1,False
bipartita,UCg3eIfd7BrsLEqS0BLkftHA,autor,1,False
bipartita,UCgGqw4aqMdMVSGkKiMgrJRQ,autor,1,False
bipartita,UCgJNFj5dnxXpcMvmuhZDPxA,autor,1,False
bipartita,UCgLrWFdYitoP-b7-PxtUr-w,autor,1,False
bipartita,UCgLurCo-e019HGODcjXHWCw,autor,1,False
bipartita,UCgQJgI9vu1FI2dnC9mrFthw,autor,1,False
bipartita,UCgQw_Sbq3ugruDUKsq1e0-A,autor,1,False
bipartita,UCgvw7xIdGFupzpt1Y_BFkEA,autor,1,False
bipartita,UCh5ESQvtzyHDhCA7XyekCFA,autor,1,False
bipartita,UChT7pzGytNd92Nmvi-zuWog,autor,1,False
bipartita,UChZknRmJkeGeQk0-mQuhDOg,autor,1,False
bipartita,UCheEJ5GZuIvV0fj-nXyVwXw,autor,1,False
bipartita,UChep9kVb5gQmpodEEl10Xlg,autor,1,False
bipartita,UChgkn5Jt5tWKYMoEOuCjz3Q,autor,1,False
bipartita,UChs3tU2BcKOT0CezykvAsGw,autor,1,False
bipartita,UChyps3dqY-VY1_wLeq-2lhw,autor,1,False
bipartita,UCi-vPdnpQreC7BkFs40mJGA,autor,1,False
bipartita,UCi1b_TRQfgO1Z9O2gNGGWNA,autor,1,False
bipartita,UCi2KiZq63sRq8Mfbcp-MelQ,autor,1,False
bipartita,UCiC-Jn7wdgyQV4_Urk0DkWQ,autor,1,False
bipartita,UCiGRBf2RNF0WRKhRVT7zFoA,autor,1,False
bipartita,UCiMythXHsw7eQEMykCdmMUA,autor,1,False
bipartita,UCiOZX__1gahg1ypIj0_XG_w,autor,1,False
bipartita,UCipetjeiWj4CZB6EbyYziZg,autor,1,False
bipartita,UCj-LL25XJnjxepPKCc3NGog,autor,1,False
bipartita,UCjJf-AJKRFFWtiN-CSwkDmA,autor,1,False
bipartita,UCjSKM9j0Q7HLDr1hD6D-TUw,autor,1,False
bipartita,UCjmPuazZJzscrwvk0QR9RVw,autor,1,False
bipartita,UCk4O-J1BhoqPmig1KLGJePA,autor,1,False
bipartita,UCkVtmkK07b2zaVVNssX4lOg,autor,1,False
bipartita,UCkbsS_3D-pvg1iHOld9uvIg,autor,1,False
bipartita,UCkd9W714-947dEE6ZOEBATA,autor,1,False
bipartita,UCkxdJ_yGN2gghOMo2ybQtXQ,autor,1,False
bipartita,UCl0ekS9Tt0jJGtOEM18S63w,autor,1,False
bipartita,UCld2stqxaVSk0QdGncM224A,autor,1,False
bipartita,UClhMWQ7XKWywYvbRnuf8QsA,autor,1,False
bipartita,UCljDbleJul41G1TzOjOZAVA,autor,1,False
bipartita,UClqA491Xa5fQcXcJJa-vTWw,autor,1,False
bipartita,UClsrFGJKWPxxw7MiaEdKLXw,autor,1,False
bipartita,UCmjppp6ujz3SAnULvP3sZMw,autor,1,False
bipartita,UCmvOgzmmXbjUthHy-WJ52hQ,autor,1,False
bipartita,UCnU8wO1OurAmGstDw6VGjgQ,autor,1,False
bipartita,UCoGdCoJg2Lh0OX_jv6cG16g,autor,1,False
bipartita,UColMq7LmaoY3MT6aIDGrGvA,autor,1,False
bipartita,UCozFYHN0e_-vlQbX3wQGOug,autor,1,False
bipartita,UCp29O_C7cchZV8IxV7Crdag,autor,1,False
bipartita,UCp4iw5_5SmV9VGTFSNVGOmQ,autor,1,False
bipartita,UCpIdtvoFHVLGASGB5ySqIEA,autor,1,False
bipartita,UCp_dAUfv8i3LW3zWc24dLaQ,autor,1,False
bipartita,UCpe5jW3MIqkgTJ-PgkzvM6Q,autor,1,False
bipartita,UCpl8rF8uv_8uui-QRvuJaRA,autor,1,False
bipartita,UCplrIQtaPj6au60_f2-mOYw,autor,1,False
bipartita,UCq3mDTTRZnUybct5M9OSXbg,autor,1,False
bipartita,UCqCrvuoJpC-aVb0f4logQRQ,autor,1,False
bipartita,UCqilIa8r7iek5sGYg_q6ofA,autor,1,False
bipartita,UCql1n3Ey6ULMSOACjMe-fxQ,autor,1,False
bipartita,UCr1emrogPKkKTs_WTtx71xg,autor,1,False
bipartita,UCrJn_rbo_ENAdeqneS-RmRw,autor,1,False
bipartita,UCrqXyRsg-_hTosURZ-uvoKg,autor,1,False
bipartita,UCsGoJEvb-cFPZ2rWoJcXzEQ,autor,1,False
bipartita,UCsJJAvrVGupdmhOqgtDp8dg,autor,1,False
bipartita,UCsSXdJct-nsS8DsABoEsaYA,autor,1,False
bipartita,UCs_5qeqdku9tGAq22y3OcuQ,autor,1,False
bipartita,UCsjs5Hp_r86x1xbK6FAeqaA,autor,1,False
bipartita,UCtCtts20bW6F9CSohau51Iw,autor,1,False
bipartita,UCtMBF_1O2jY2INlb_luuB_A,autor,1,False
bipartita,UCtNfIBnc5S5DbbQj_yxgJTw,autor,1,False
bipartita,UCtNyHmRZtvGF2hSvI2dUBWw,autor,1,False
bipartita,UCtUR3_CAiE7fCoZHM6cMfyQ,autor,1,False
bipartita,UCtiHFjFu7d5v2XxHnKFUYig,autor,1,False
bipartita,UCtowGNY2lnlg6O2CkwDgkLg,autor,1,False
bipartita,UCtsxPYw8VUsH_FfnKg-0lmw,autor,1,False
bipartita,UCu8_3-Wg-YzNyvHYQDEscfw,autor,1,False
bipartita,UCuP4UK33HKtJE_S39ksmaTw,autor,1,False
bipartita,UCuXmOjxC-htcprLgeVXz6Tg,autor,1,False
bipartita,UCueV9cTyTDwgQSec1x2dYgA,autor,1,False
bipartita,UCujPF2nBgsTD62nWE3lcpIg,autor,1,False
bipartita,UCusjriFsDHEc2AOjqk-p5ig,autor,1,False
bipartita,UCut6b9S98nv84cVX89PmKzA,autor,1,False
bipartita,UCvApqeCbLod-wejtT4CcVuA,autor,1,False
bipartita,UCvDwJBBY1mHK70aTEYl6rsA,autor,1,False
bipartita,UCvl1tzQeBeGy6efPTRJXSCw,autor,1,False
bipartita,UCwCfs-2zbD5k0lG-UVg_JBw,autor,1,False
bipartita,UCwEe1RKlEv1UpNWmWYfSh4w,autor,1,False
bipartita,UCwO2SXr0ggzwg6QWWrr01nQ,autor,1,False
bipartita,UCwUAv3_LpWVtTIi7lkmTL7A,autor,1,False
bipartita,UCwW2OFy95P7ZBkOPxWkpvYg,autor,1,False
bipartita,UCwgCc9Jd_gG-uLE_SY-FfPg,autor,1,False
bipartita,UCwha8rxULYMVtNwZWeSkE1A,autor,1,False
bipartita,UCwjUvRseNtJoItylIyIez7Q,autor,1,False
bipartita,UCwxoKK59nGCeBqB2sXfDBIw,autor,1,False
bipartita,UCxKR3RA8T-kxMgq_2WWhRcQ,autor,1,False
bipartita,UCxcoDvP-g2_KTZDmVZtvb3w,autor,1,False
bipartita,UCxff05WuyvwELNITi7bj7UA,autor,1,False
bipartita,UCxhtlxPV8AYWaNNyU6S9H8Q,autor,1,False
bipartita,UCyJhqmMbsvjpoarBBStA2kg,autor,1,False
bipartita,UCySYJU5kUh7X8gVt9la2ISA,autor,1,False
bipartita,UCyW68EGZey4ao_Vf2cR5Ztg,autor,1,False
bipartita,UCyor0Mmm0ivLX2jIdyGp84Q,autor,1,False
