serie,estrategia,ventana,unidades,capas,dropout,learning_rate,batch_size,epocas_efectivas,n_parametros,val_loss,mae_val,rmse_val,tiempo_s,seleccionado
via_aerea,recursivo,12,32,1,0.0,0.001,16,26,4385,0.1238292008638382,39359.59443130644,45463.649431003425,3.690156249998836,True
via_aerea,recursivo,12,32,2,0.0,0.001,16,24,12705,0.13544496893882751,39924.07313385369,47285.502953583935,4.573764333996223,False
via_aerea,recursivo,12,32,2,0.2,0.001,16,25,12705,0.14334046840667725,40577.76850472762,48149.02399306672,4.779002750001382,False
via_aerea,recursivo,12,64,1,0.0,0.001,16,24,16961,0.1296185702085495,41068.63049828632,48746.51891900117,3.6122993329918245,False
via_aerea,recursivo,24,64,2,0.0,0.001,16,22,49985,0.14663678407669067,40378.38149109829,48771.60164748733,5.353135875004227,False
via_aerea,recursivo,24,32,2,0.0,0.001,16,24,12705,0.1417205035686493,40540.864368432376,49185.94223277372,5.1980786670028465,False
via_aerea,recursivo,24,32,2,0.2,0.001,16,24,12705,0.15460331737995148,41095.95880559363,49488.45255680865,5.231256291997852,False
via_aerea,recursivo,12,64,1,0.2,0.001,16,24,16961,0.12933114171028137,41617.509743578004,49563.97034254091,3.6675911249913042,False
via_aerea,recursivo,12,64,2,0.0,0.001,16,23,49985,0.13684166967868805,41964.28523643299,50020.46874155147,4.985812458005967,False
via_aerea,recursivo,24,64,2,0.2,0.001,16,22,49985,0.14607277512550354,41799.87335027449,50900.91135272088,5.507001250007306,False
via_aerea,recursivo,24,64,1,0.2,0.001,16,24,16961,0.13579973578453064,42023.580751629575,51564.498394408285,3.8495483749866253,False
via_aerea,recursivo,12,64,2,0.2,0.001,16,23,49985,0.13534946739673615,46638.97970566867,58575.956866519206,4.99645612500899,False
via_aerea,recursivo,24,32,1,0.2,0.001,16,24,4385,0.1457168459892273,46504.932318704894,61716.772952837164,3.6693026249995455,False
via_aerea,recursivo,12,32,1,0.2,0.001,16,24,4385,0.14286215603351593,49257.213831736284,63538.350120747884,3.5196547499945154,False
via_aerea,recursivo,24,64,1,0.0,0.001,16,21,16961,0.13626833260059357,47820.8045123576,65549.75216281916,3.6309740410069935,False
via_aerea,recursivo,24,32,1,0.0,0.001,16,22,4385,0.13084159791469574,49100.77792650308,68449.70235751064,3.777731541005778,False
via_aerea,directo,24,32,2,0.0,0.001,16,49,14751,0.058475859463214874,25853.058113694424,38697.78362997031,5.663818417000584,True
via_aerea,directo,24,64,1,0.0,0.001,16,43,20991,0.0582566112279892,26215.73099707437,38805.375484550255,4.140761624992592,False
via_aerea,directo,12,64,2,0.0,0.001,16,40,54015,0.05576924979686737,29105.28270795552,40374.98935881684,4.7871854590048315,False
via_aerea,directo,12,32,1,0.0,0.001,16,44,6431,0.056092001497745514,29532.824032828932,41247.76420731269,3.4221693750005215,False
via_aerea,directo,24,32,1,0.2,0.001,16,44,6431,0.053784046322107315,33927.04298398975,41443.09254553331,3.818037125005503,False
via_aerea,directo,12,64,1,0.0,0.001,16,37,20991,0.055779680609703064,33594.161808857265,42956.292631803364,3.287762833002489,False
via_aerea,directo,24,64,2,0.0,0.001,16,33,54015,0.057985901832580566,33097.48747845371,43625.17746446984,4.992306667001685,False
via_aerea,directo,24,64,1,0.2,0.001,16,35,20991,0.05267845466732979,38762.03106599484,44300.87753295703,3.4417287909891456,False
via_aerea,directo,24,32,1,0.0,0.001,16,37,6431,0.05771796405315399,34830.8305440538,44508.08635561194,3.3818127919948893,False
via_aerea,directo,12,64,2,0.2,0.001,16,42,54015,0.05242899805307388,39498.50717194159,44592.5655083568,5.157764125004178,False
via_aerea,directo,12,32,1,0.2,0.001,16,59,6431,0.05340445414185524,39745.42738110473,44916.333354491384,4.244904707986279,False
via_aerea,directo,24,32,2,0.2,0.001,16,54,14751,0.055410098284482956,40162.996886591354,45551.04796429885,6.212619792000623,False
via_aerea,directo,24,64,2,0.2,0.001,16,29,54015,0.05328534543514252,35865.28829657937,45875.291947783946,4.815353666010196,False
via_aerea,directo,12,64,1,0.2,0.001,16,36,20991,0.052224624902009964,42628.663246718665,47186.19719562297,3.346056041002157,False
via_aerea,directo,12,32,2,0.2,0.001,16,59,14751,0.053753361105918884,46431.04729273575,49809.578484886406,5.7837884170003235,False
via_aerea,directo,12,32,2,0.0,0.001,16,33,14751,0.055912647396326065,42212.89687629446,51648.147556353644,4.016532207999262,False
